"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"28.04.2016","17,2720","17,3249","17,4200","17,1837","-0,30%"
"27.04.2016","17,3240","17,3808","17,4870","17,2940","-0,27%"
"26.04.2016","17,3708","17,5564","17,5994","17,3436","-1,08%"
"25.04.2016","17,5605","17,4252","17,6400","17,4252","0,47%"
"22.04.2016","17,4777","17,4720","17,5160","17,3762","0,06%"
"21.04.2016","17,4670","17,2805","17,5235","17,2349","1,09%"
"20.04.2016","17,2788","17,3002","17,3820","17,1920","-0,19%"
"19.04.2016","17,3122","17,4362","17,4505","17,2240","-0,72%"
"18.04.2016","17,4382","17,5407","17,7580","17,4098","-0,71%"
"15.04.2016","17,5624","17,4462","17,6035","17,3820","0,67%"
"14.04.2016","17,4462","17,4310","17,5840","17,3155","0,09%"
"13.04.2016","17,4307","17,4798","17,5653","17,4203","-0,29%"
"12.04.2016","17,4817","17,6450","17,6778","17,4344","-0,92%"
"11.04.2016","17,6448","17,7815","17,8405","17,5855","-0,73%"
"08.04.2016","17,7750","17,8864","17,8982","17,6998","-0,56%"
"07.04.2016","17,8753","17,6499","17,9549","17,6016","1,26%"
"06.04.2016","17,6531","17,6923","17,8502","17,6161","-0,20%"
"05.04.2016","17,6891","17,4792","17,7788","17,4642","1,14%"
"04.04.2016","17,4900","17,3324","17,4977","17,3020","0,92%"
"01.04.2016","17,3300","17,2892","17,4958","17,2490","0,29%"
"31.03.2016","17,2806","17,2294","17,3785","17,0945","0,28%"
"30.03.2016","17,2325","17,3472","17,3600","17,1705","-0,62%"
"29.03.2016","17,3399","17,4297","17,5541","17,2736","-0,55%"
"28.03.2016","17,4350","17,5687","17,5979","17,4098","-0,59%"
"25.03.2016","17,5376","17,6154","17,6224","17,5283","-0,42%"
"24.03.2016","17,6118","17,5897","17,6997","17,5500","0,13%"
"23.03.2016","17,5887","17,3437","17,6161","17,3295","1,47%"
"22.03.2016","17,3331","17,4135","17,5286","17,3017","-0,47%"
"21.03.2016","17,4149","17,3915","17,4972","17,3577","0,13%"
"18.03.2016","17,3922","17,3115","17,4365","17,2233","0,42%"
"17.03.2016","17,3200","17,6044","17,6401","17,3100","-1,59%"
"16.03.2016","17,6000","17,8932","17,9997","17,5950","-1,59%"
"15.03.2016","17,8850","17,7506","17,9822","17,7385","0,77%"
"14.03.2016","17,7484","17,6869","17,8302","17,6823","0,29%"
"11.03.2016","17,6964","17,8064","17,8521","17,6541","-0,66%"
"10.03.2016","17,8141","17,7580","17,9507","17,6120","0,29%"
"09.03.2016","17,7623","17,9310","17,9485","17,6992","-0,93%"
"08.03.2016","17,9299","17,7440","17,9445","17,7359","0,99%"
"07.03.2016","17,7550","17,7639","17,8814","17,6965","-0,03%"
"04.03.2016","17,7600","17,9255","17,9774","17,7357","-0,90%"
"03.03.2016","17,9215","17,8187","18,0012","17,8104","0,57%"
"02.03.2016","17,8200","17,9189","17,9842","17,7885","-0,53%"
"01.03.2016","17,9150","18,1409","18,1742","17,8458","-1,21%"
"29.02.2016","18,1350","18,2849","18,3236","18,0443","-0,77%"
"26.02.2016","18,2766","18,1298","18,2882","17,9800","0,82%"
"25.02.2016","18,1271","18,2090","18,2520","18,0607","-0,48%"
"24.02.2016","18,2150","18,2182","18,3798","18,1398","0,02%"
"23.02.2016","18,2108","18,0757","18,2502","18,0320","0,75%"
"22.02.2016","18,0750","18,2338","18,2470","17,9922","-0,82%"
"19.02.2016","18,2250","18,2892","18,3640","18,1493","-0,36%"
"18.02.2016","18,2900","18,3675","18,4047","18,0627","-0,39%"
"17.02.2016","18,3610","18,8840","18,9546","17,9605","-2,77%"
"16.02.2016","18,8850","18,8250","18,8981","18,7133","0,28%"
"15.02.2016","18,8324","18,9222","18,9805","18,7867","-0,41%"
"12.02.2016","18,9100","19,1500","19,2402","18,8890","-1,25%"
"11.02.2016","19,1500","18,9427","19,4502","18,9026","1,14%"
"10.02.2016","18,9350","18,8050","18,9612","18,6250","0,70%"
"09.02.2016","18,8037","18,6720","18,9332","18,6280","0,70%"
"08.02.2016","18,6736","18,4408","18,7995","18,3615","1,24%"
"05.02.2016","18,4448","18,2750","18,4747","18,1630","0,90%"
"04.02.2016","18,2800","18,1725","18,3459","18,0189","0,60%"
"03.02.2016","18,1707","18,4787","18,6135","18,1515","-1,68%"
"02.02.2016","18,4805","18,2348","18,5442","18,2174","1,33%"
"01.02.2016","18,2387","18,1045","18,4120","18,1045","0,71%"
"29.01.2016","18,1100","18,3391","18,3589","18,1085","-1,20%"
"28.01.2016","18,3300","18,4700","18,4874","18,1970","-0,76%"
"27.01.2016","18,4700","18,4680","18,5560","18,3462","0,03%"
"26.01.2016","18,4650","18,6070","18,6842","18,3872","-0,75%"
"25.01.2016","18,6050","18,4408","18,6481","18,4078","0,92%"
"22.01.2016","18,4350","18,7253","18,7622","18,3625","-1,57%"
"21.01.2016","18,7283","18,5217","18,8010","18,4188","1,10%"
"20.01.2016","18,5250","18,2714","18,6802","18,2512","1,35%"
"19.01.2016","18,2784","18,2022","18,2994","18,0390","0,38%"
"18.01.2016","18,2095","18,2694","18,3110","18,1620","-0,29%"
"15.01.2016","18,2620","17,8808","18,3297","17,8470","2,12%"
"14.01.2016","17,8823","17,9528","18,0157","17,8427","-0,37%"
