type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/CLAVE,properties/CATEGO,properties/NOMB,properties/LAT,properties/LONG_,properties/ELEV,properties/TIPO,properties/ACTIV,properties/EDO_LOC,properties/TIP_ERUP,properties/PRODUCT,properties/COMP,properties/PAPERS,properties/SHAPE
Feature,Point,-98.032000000075,19.2309999999573,31,17,3,La Malinche,19.231,-98.032,4461,Estratovolcan,Pleistoceno,Tlaxcala y Puebla,"Freáticas, explosivas","Tefra, lahares", ,"(Castro-Govea R. & Siebe C., 2007) – (Castillo-Rodríguez M. et al., 2007)",geometry
Feature,Point,-100.637782000259,19.7963009998066,33,19,4,Los Azufres,19.796301,-100.637782,3400,Caldera,Pleistoceno,Michoacán, ,Flujos de lava,Dacítica-riolítica,"(Dobson P. & Mahood G., 1985) – (Cathelineau M. et al., 1991) – (González-Partida E. et al., 2000)",geometry
Feature,Point,-103.520000000198,20.6200000000682,35,21,4,Sierra la Primavera,20.62,-103.52,2270,Caldera,Pleistoceno,Jalisco,Explosiva,"Flujos de lava, piroclastos",Riolítica,"(Yokoyama I. & Mena M.,1991) – (Campos-Enríquez J. et al., 2005)",geometry
Feature,Point,-104.972397000076,21.4745450001628,36,22,4,San Juan,21.474545,-104.972397,2240,Estratovolcan,Pleistoceno,Nayarit, ,"Flujos de lava, piroclastos",Andesítica, ,geometry
Feature,Point,-100.253095999715,19.4025790000908,37,23,4,Zitacuaro,19.402579,-100.253096,3500,Caldera,Pleistoceno,Michoacán, ,"Flujos de lava, flujos piroclásticos",Dacítica, ,geometry
Feature,Point,-98.6418299996821,19.1779950001961,38,24,5,Iztaccihuatl,19.177995,-98.64183,5230,Estratovolcan,Holoceno,Puebla y Estado de México,Explosivas,"Flujos de lava, Flujos piroclásticos, laharea",Andecítica - dacítica,"(Steele W., 1971)",geometry
Feature,Point,-110.974475999676,18.793445999837,39,25,5,Everman o Socorro,18.793446,-110.974476,1050,Volcan escudo,Historica, Archipiélago de las Revillagigedo,"Explosiva, freática, submarina",Piroclastos,Basalto - riolita,"(Taran Y. et al., 2002)",geometry
Feature,Point,-97.1557049997919,19.490078000117,40,26,5,Cofre de Perote,19.490078,-97.155705,4282,Volcan escudo,Pleistoceno-Holoceno,Veracruz, ,Flujos de lava,Dacítica - andesítica,"(Siebert L. & Carrasco-Núñez G., 2002) - (Concha-Dimas A. et al., 2005) – (Carrasco-Núñez G. et al., 2010)",geometry
Feature,Point,-104.732966000101,21.4447600001981,41,27,5,Sanganguey,21.44476,-104.732966,2340,Estratovolcan,Holoceno,Nayarit, , ,Andesítica - dacítica, ,geometry
Feature,Point,-113.498943000526,31.7723950001342,42,28,5,Pinacate,31.772395,-113.498943,1200,Cono cineritico,Holoceno,Sonora,"Estromboliana, efusiva, Freática",Flujos de lava,Basáltica,"(Lynch D. et al., 1993) – (Gutmann J., 2002) – (Turrin B. et al., 2008)",geometry
Feature,Point,-114.384625999672,29.8147339998983,43,29,5,Isla San Luis,29.814734,-114.384626,180,Cono de Toba,Holoceno,Norte del Golfo de California,"Submarina, efusiva",Flujos de lava,Andesitas basálticas a riolitas,"(Paz F. & Demant A., 1999)",geometry
Feature,Point,-104.696194999737,21.2695499998099,44,30,5,Tepetiltic,21.26955,-104.696195,2020,Estratovolcan,Pleistoceno,Nayarit, ,Flujos piroclásticos,Andesítica - dacítica, ,geometry
Feature,Point,-103.842065999783,20.7885459998593,45,31,5,Tequila,20.788546,-103.842066,2920,Estratovolcan,Pleistoceno,Jalisco, ,"Flujos de obsidiana, flujos de lava","Andesítica-dacítica , flujos de lava andesíticos y domos de lava riolíticos", ,geometry
Feature,Point,-103.576940000208,20.4501170000263,47,33,5,Campo volcanico Acatlan,20.450117,-103.57694,1990,Caldera,Pleistoceno,Jalisco,"Pliniana, explosiva","Ignimbrita, Flujos de lava","Conos andesíticos, domos de lava riolíticos","(Maldonado-Sánchez G. & Schaaf P., 2005)",geometry
Feature,Point,-98.201434000153,19.9751730000484,48,34,5,Acoculco,19.975173,-98.201434,3020,Caldera,Pleistoceno,Puebla, ,"Flujos de lava, flujos piroclásticos",Riolítica,"(López-Hernández A. et al., 2009) – (Canet C. et al., 2010)",geometry
Feature,Point,-112.536372000501,27.5629129999499,49,35,5,El Aguajito,27.562913,-112.536372,1300,Caldera,Pleistoceno,Costa del Golfo de California,Explosiva,Ignibritas,"Dacitas, riolitas","(Garduño-Monroy V. et al., 1993)",geometry
Feature,Point,-103.632243999767,19.7038380002565,50,36,5,Cantaro,19.703838,-103.632244,2920,Estratovolcan,Pleistoceno,Colima,Efusiva, ,Andesítica-dacítica,"(Verma S. & Luhr J., 2010)",geometry
Feature,Point,-99.3800000003538,22.5800000001571,51,37,5,Las Flores,22.58,-99.38,520,Campo volcanico,Cuaternario,"Tamaulipas, Nuevo León y San Luis Potosí", ,"Flujos de lava, piroclastos", , ,geometry
Feature,Point,-97.9287009998779,19.6235409996745,52,38,5,Cerro Grande,19.623541,-97.928701,3050,Campo volcanico,Pleistoceno,Tlaxcala, ,"Lavas, piroclastos","Domos andesíticos y dacíticos, conos de lava basáltica","(Gómez-Tuena A. & Carrasco-Núñez G., 2000)",geometry
Feature,Point,-118.280000000427,29.0699999996612,53,39,5,Guadalupe,29.07,-118.28,1100,Volcan escudo,Holoceno,Isla al Oeste de Baja California Norte, ,Flujos de lava,Balsáltica, ,geometry
Feature,Point,-104.722648000253,21.5297329997295,55,41,5,Las Navajas,21.529733,-104.722648,1680,Volcan escudo,Pleistoceno,Nayarit,Pliniana,"Flujos de lava, flujos piriclásticos", , ,geometry
Feature,Point,-112.39116200016,27.5051029997085,58,44,5,La Reforma,27.505103,-112.391162,1300,Caldera,Pleistoceno,Baja California Sur, ,Flujos de lava,"Flujos de lava basálticos, andesíticos y dacíticos y domos de lava riolíticos","(Demant A. & Ortlieb L., 1981) – (Hook S. et al., 2005)",geometry
